Id;Group;Species;PM name;Project;Playlist;Link;Observer;#Present;#Absent;Obs;Filters used;Verified T and G
1;Bird;Formicarius analis;Formicarius_analis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33229;Gabriel;517;1119;;Score, 200 Top Scores per Site, Best per Site, Day;ok
2;Bird;Herpsilochmus dorsimaculatus;Herpsilochmus_dorsimaculatus_commo song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33331;Tomaz;513;1024;;Score, 200 Top Scores per Site, Best per Site, Day;ok
3;Bird;Dendrocolaptes certhia;Dendrocolaptes_certhia_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33232;Gabriel;354;1165;;Score, 200 Top Scores per Site, Best per Site, Day;ok
4;Bird;Myrmoderus ferrugineus;Myrmoderus_ferrugineus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33233;Gabriel;294;1203;;Score, 200 Top Scores per Site, Best per Site, Day;ok
5;Bird;Crypturellus variegatus;Crypturellus_variegatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33246;Gabriel;204;1214;;Score, 200 Top Scores per Site, Best per Site, Day;ok
6;Bird;Ramphotrigon ruficauda;Ramphotrigon_ruficauda_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33247;Gabriel;266;1279;;Score, 200 Top Scores per Site, Best per Site, Day;ok
7;Bird;Ramphastos tucanus;Ramphastos_tucanus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33248;Tomaz;526;1022;;Score, 200 Top Scores per Site, Best per Site, Day;ok
8;Bird;Vireolanius leucotis;Vireolanius_leucotis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33262;Gabriel;455;1309;;Score, 200 Top Scores per Site, Best per Site, Day;ok
9;Bird;Lipaugus vociferans;Lipaugus_vociferans_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33263;Gabriel;621;1249;;Score, 200 Top Scores per Site, Best per Site, Day;ok
10;Bird;Frederickena viridis;Frederickena_viridis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33264;Tomaz;36;1003;A rare species. Few presences expected;Score, 200 Top Scores per Site, Best per Site, Day;ok
11;Bird;Thamnophilus murinus;Thamnophilus_murinus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33280;Tomaz;158;1046;;Score, 200 Top Scores per Site, Best per Site, Day;ok
12;Bird;Formicarius colma;Formicarius_colma_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33281;Gabriel;204;1357;;Score, 200 Top Scores per Site, Best per Site, Day;ok
13;Bird;Piprites chloris;Piprites_chloris_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33282;Tomaz;129;1149;;Score, 200 Top Scores per Site, Best per Site, Day;ok
14;Bird;Patagioenas plumbea;Patagioenas_plumbea_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33286;Gabriel;670;958;;Score, 200 Top Scores per Site, Best per Site, Day;ok
15;Bird;Crypturellus soui;Crypturellus_soui_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33287;Gabriel;52;1247;Only in two sites;Score, 200 Top Scores per Site, Best per Site, Day;ok
16;Bird;Willisornis poecilinotus;Willisornis_poecilinotus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33292;Tomaz;73;1187;Not a common species in Manaus area;Score, 200 Top Scores per Site, Best per Site, Day;ok
17;Bird;Ramphocaenus melanurus;Ramphocaenus_melanurus2_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33893;Gabriel;345;1193;;Score, 200 Top Scores per Site, Best per Site, Day;ok
18;Bird;Trogon viridis;Trogon_viridis2_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33889;Tomaz;552;1004;;Score, 200 Top Scores per Site, Best per Site, Day;ok
19;Bird;Nyctidromus albicollis;Nyctidromus_albicollis_common song_RFCx2023;BDFFP Acoustics;All_nocturnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34064;Tomaz;375;1092;;Score, 200 Top Scores per Site, Best per Site, Day;ok
20;Bird;Attila spadiceus;Attila_spadiceus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33298;Gabriel;615;1126;;Score, 200 Top Scores per Site, Best per Site, Day;ok
21;Bird;Myrmothera campanisona;Myrmothera_campanisona_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33299;Tomaz;269;1249;;Score, 200 Top Scores per Site, Best per Site, Day;ok
