,class,ap,roc_auc,false_positive_rate,precision,recall,f1,true_presence,predicted_presence,true_absence,predicted_absence
5,Bucco_capensis_common_song,1.0,1.0,0.0,1.0,1.0,1.0,9,9,2768,2768
31,Hylexetastes_perrotii_common_song,1.0,1.0,0.0,1.0,1.0,1.0,6,6,2729,2729
43,Micrastur_mirandollei_common_song,1.0,1.0,0.0,1.0,1.0,1.0,5,5,2767,2767
51,Myrmelastes_leucostigma_common_song,1.0,1.0,0.0,1.0,1.0,1.0,4,4,2776,2776
55,Myrmotherula_menetriesii_common_song,1.0,1.0,0.0,1.0,1.0,1.0,34,34,2745,2745
71,Psarocolius_viridis_common_song,1.0,1.0,0.0,1.0,1.0,1.0,23,23,2756,2756
79,Selenidera_piperivora_common_song,1.0,1.0,0.0,1.0,1.0,1.0,5,5,2760,2760
53,Myrmothera_campanisona_common_song,1.0,1.0,0.0,1.0,0.9814814814814815,0.9906542056074767,54,53,2770,2771
37,Lepidothrix_serena_common_song,0.9957912457912458,0.9999197199833018,0.0,1.0,0.9545454545454546,0.9767441860465117,44,42,2831,2833
59,Ortalis_motmot_common_song,0.9985816864915824,0.999960565296475,0.0,1.0,0.9452054794520548,0.971830985915493,73,69,2779,2783
1,Attila_spadiceus_common_song,0.9966889586771328,0.9998401222176825,0.0,1.0,0.943089430894309,0.9707112970711297,123,116,2746,2753
69,Pitangus_sulphuratus_common_song,1.0,1.0,0.0,1.0,0.9411764705882353,0.9696969696969697,17,16,2748,2749
2,Automolus_infuscatus_common_song,0.9894709363035155,0.9998739884069334,0.0,1.0,0.9230769230769231,0.9600000000000001,26,24,2747,2749
3,Automolus_ochrolaemus_common_song,0.9754480286738352,0.997235339225895,0.0,1.0,0.9166666666666666,0.9565217391304348,36,33,2753,2756
46,Mionectes_macconnelli_common_song,0.9975009611687813,0.9999702510808773,0.0,1.0,0.9117647058823529,0.9538461538461539,34,31,2966,2969
23,Formicarius_analis_common_song,0.9980222716572454,0.9999194045750167,0.0,1.0,0.9038461538461539,0.9494949494949495,104,94,2744,2754
82,Thamnomanes_ardesiacus_common_song,0.9986772486772484,0.9999865564293876,0.0,1.0,0.8888888888888888,0.9411764705882353,27,24,2755,2758
32,Hylopezus_macularius_common_song,0.9872582848364551,0.9995053220524017,0.0,1.0,0.875,0.9333333333333333,64,56,2748,2756
38,Leucopternis_melanops_common_song,0.9574603174603176,0.9995330220146764,0.0,1.0,0.8666666666666667,0.9285714285714286,15,13,2998,3000
22,Dryocopus_lineatus_[lineatus_Group]_common_song,0.9761904761904762,0.9999394379844961,0.0,1.0,0.8333333333333334,0.9090909090909091,6,5,2752,2753
36,Laniocera_hypopyrra_common_song,0.936104218362283,0.9993638676844784,0.0,1.0,0.75,0.8571428571428571,12,9,2751,2754
7,Campylorhamphus_procurvoides_common_song,0.9166666666666666,0.9998188405797102,0.0,1.0,0.75,0.8571428571428571,4,3,2760,2761
